review_id,platform,academy_name,title,rating,grade,date_created,review_type,text,collected_at,source_file,created_at,updated_at,is_generic,content_trust_score,is_repetitive,author_trust_score,conceptual_sentiment,is_discrepancy,discrepancy_trust_score,review_trust_score
dd82ceb2-a90a-4539-83f7-7ae7608a640c,gangmom,J영어학원,반 전체의 공동학습과 개인별 특화가 잘 조화된 학습,5.0,중3,1년 전,좋은 점,"소규모 단체 수업을 통해 아이들의 영어공부에 대한 흥미와 동기를 유발시키고 각자 개별 맞춤형 지도도 적절히 진행되어 조화가 잘 이루어짐.

영어 문법과 듣기, 말하기까지 골고루 실",2025-08-26T10:32:51.197378,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,0,False,1.0,1.0
fa60b798-fdfb-4617-bc1f-45fb9a99b284,gangmom,J영어학원,반 전체의 공동학습과 개인별 특화가 잘 조화된 학습,5.0,중3,1년 전,아쉬운 점,"학원규모가 좀 더 크면 좋겠음. 
그 외 특별한 것 없음.",2025-08-26T10:32:51.197406,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,0,False,1.0,1.0
b465a442-1b60-4731-a203-65635096f7d3,gangmom,J영어학원,소규모 관리 인원이 적어 개인별 맞춤진행가능,3.0,초5,3년 전,좋은 점,"소수인원이라 과외식 수업느낌
영유안 나온경우 나쁘지않은 선택",2025-08-26T10:32:51.198586,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,0,False,1.0,1.0
986dcf2c-06dc-4419-84bb-eb5127b33d20,gangmom,J영어학원,소규모 관리 인원이 적어 개인별 맞춤진행가능,3.0,초5,3년 전,아쉬운 점,"레벨테스트없이 진행되어  판서식수업시 불편
학생 수준뿐만아니라 학습태도도 천차만별
선생님이 자주 바뀜 설명도 없음",2025-08-26T10:32:51.198605,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,-1,False,1.0,1.0
85a55e01-6be3-4422-a76c-be8f935be499,gangmom,J영어학원,단체수업후 개별적으로 관리하는 학원,5.0,"고2, 고3",4년 전,좋은 점,부족한 부분을 계속해서 훈련시켜주는 학원,2025-08-26T10:32:51.199881,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,-1,True,0.5,0.5
b49f4b2e-d053-4967-ba61-1f6e3bce424a,gangmom,J영어학원,단체수업후 개별적으로 관리하는 학원,5.0,"고2, 고3",4년 전,아쉬운 점,학생 성취도에따라 즉흥적으로 수업내용이 바뀌는 경우가 있음,2025-08-26T10:32:51.199898,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,0,False,1.0,1.0
7e2ac1d2-63fd-4c98-987c-e2d6babd7f76,gangmom,J영어학원,숙제관리가 잘되는학원,4.0,중1,4년 전,좋은 점,소규모로 개별적 보강이 가능하다,2025-08-26T10:32:51.201067,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,0,False,1.0,1.0
81e21fd7-6a21-4358-8e89-2300304b8eec,gangmom,J영어학원,숙제관리가 잘되는학원,4.0,중1,4년 전,아쉬운 점,내신수업이 시간이 짧다,2025-08-26T10:32:51.201085,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,0,False,1.0,1.0
74813439-a5a1-4de9-b937-630db548703f,gangmom,J영어학원,소수로 꼼꼼하게관리해주는학원,4.0,중3,4년 전,좋은 점,"소수로수업하는점
수능독해에도움이많이될것같음",2025-08-26T10:32:51.202417,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,0,False,1.0,1.0
413da685-ccf6-47ec-9430-5e1dcdda7972,gangmom,J영어학원,소수로 꼼꼼하게관리해주는학원,4.0,중3,4년 전,아쉬운 점,독해.문법이외의수업은 약간부족한것같음,2025-08-26T10:32:51.202435,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,-1,True,0.5,0.5
f332bd58-3b4d-4401-a326-828125ad618d,gangmom,J영어학원,너무 꼼꼼하게 알려주세요,5.0,고1,4년 전,좋은 점,책임있는 결과에 만족합니다,2025-08-26T10:32:51.203617,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,True,0.5,False,1.0,1,False,1.0,0.5
8e271938-6829-44c5-84cb-accd5d20a79b,gangmom,J영어학원,너무 꼼꼼하게 알려주세요,5.0,고1,4년 전,아쉬운 점,아쉬운점은 하나도 없습니다,2025-08-26T10:32:51.203634,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,0,False,1.0,1.0
9273037f-2fb7-44cc-aa91-e683a863cd42,gangmom,J영어학원,"말이 필요없는 곳, 너무 잘가르쳐주시고 선생님 하나하나가 너무 좋으시다.",5.0,중2,4년 전,좋은 점,원장님이 너무 잘가르치시고 예쁘시다,2025-08-26T10:32:51.204813,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,0,False,1.0,1.0
d1125753-44df-4b0f-9599-e12c9d7623cf,gangmom,J영어학원,"말이 필요없는 곳, 너무 잘가르쳐주시고 선생님 하나하나가 너무 좋으시다.",5.0,중2,4년 전,아쉬운 점,없다. 없는게 문제일정도다!,2025-08-26T10:32:51.204830,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,0,False,1.0,1.0
bb0a00ac-03ca-4a05-966b-7e328393f30d,gangmom,J영어학원,선생님들이 다 재미있으시고 너무너무 잘 이해가게 설명해주심.  숙제 걱정 없이 편하게 다닐 수 있는 학원,5.0,"초6, 중1",4년 전,좋은 점,"speaking, writting, reading 들을 다 빠짐없이 학생들을 마스터로 만드려는 선생님들의 의지가 너무나도 잘 보여 감사합니다. + 문법)",2025-08-26T10:32:51.206091,J영어학원.html,2025-08-26 02:00:00,2025-08-26 02:00:00,False,1.0,False,1.0,0,False,1.0,1.0
